Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.98,0.27,0.06,1.4,-2.52,0.49
-0.98,0.27,0.07,1.33,-2.59,0.42
-0.98,0.27,0.07,1.4,-2.66,0.49
-0.99,0.27,0.07,1.75,-2.87,0.07
-0.99,0.28,0.07,2.24,-3.29,-0.28
-0.98,0.28,0.07,2.66,-3.64,-0.63
-0.98,0.28,0.07,2.73,-3.71,-0.91
-0.98,0.28,0.07,2.17,-3.57,-0.98
-0.98,0.28,0.07,1.82,-3.36,-0.7
-0.98,0.28,0.06,1.4,-3.08,-0.7
-0.98,0.27,0.06,0.98,-3.01,-0.77
-0.98,0.27,0.06,0.7,-3.15,-0.63
-0.97,0.27,0.05,1.33,-3.43,-0.28
-0.97,0.27,0.06,2.1,-3.64,-0.14
-0.97,0.27,0.06,2.73,-3.92,0.21
-0.97,0.28,0.06,3.36,-4.13,0.84
-0.98,0.28,0.06,3.5,-3.99,1.12
-0.98,0.27,0.06,3.71,-4.69,1.33
-0.97,0.27,0.05,3.92,-4.48,1.61
-0.97,0.28,0.05,4.55,-4.55,1.61
-0.97,0.28,0.05,5.04,-4.48,1.47
-0.97,0.28,0.06,5.67,-4.48,1.68
-0.97,0.28,0.06,6.02,-4.62,1.75
-0.98,0.28,0.06,6.02,-4.62,1.82
-0.98,0.28,0.06,5.6,-4.9,1.96
-0.97,0.28,0.05,4.83,-4.69,1.89
-0.97,0.28,0.06,3.85,-4.62,2.1
-0.97,0.28,0.05,3.15,-4.41,2.1
-0.98,0.28,0.05,3.15,-4.41,1.82
-0.98,0.28,0.05,4.06,-4.48,1.75
-0.98,0.28,0.05,4.48,-4.55,1.61
-0.97,0.29,0.05,4.62,-4.55,1.47
-0.97,0.29,0.06,5.11,-4.41,1.4
-0.97,0.29,0.06,5.39,-4.34,1.4
-0.98,0.3,0.06,5.25,-4.55,1.4
-0.98,0.3,0.07,3.92,-4.48,1.33
-0.99,0.3,0.07,2.31,-4.41,1.12
-0.98,0.29,0.06,1.61,-4.62,0.77
-0.98,0.29,0.06,1.26,-4.62,0.35
-0.97,0.3,0.06,0.84,-4.41,0.21
-0.97,0.3,0.05,0.7,-4.48,-0.07
-0.97,0.3,0.06,0.77,-4.13,0
-0.97,0.3,0.06,0.42,-3.92,0.21
-0.98,0.3,0.07,0.35,-3.99,0.35
-0.98,0.29,0.07,0.42,-4.48,0.77
-0.97,0.29,0.07,0.7,-4.76,0.84
-0.97,0.28,0.07,1.12,-4.83,0.84
-0.97,0.28,0.07,1.47,-4.97,0.56
-0.97,0.28,0.07,1.4,-4.83,0.42
-0.98,0.28,0.06,1.26,-5.04,0.56
-0.98,0.29,0.06,1.05,-5.18,0.7
-0.98,0.29,0.06,1.12,-5.25,0.77
-0.97,0.28,0.05,1.47,-5.67,0.91
-0.97,0.29,0.05,2.1,-5.25,0.84
-0.97,0.29,0.06,2.66,-5.18,0.98
-0.96,0.3,0.06,2.87,-5.32,0.7
-0.97,0.3,0.06,3.08,-5.53,0.98
-0.97,0.3,0.06,3.15,-5.67,1.33
-0.96,0.31,0.06,3.08,-5.95,1.33
-0.96,0.3,0.06,2.52,-5.67,1.61
-0.96,0.3,0.06,2.38,-5.67,2.03
-0.96,0.3,0.07,2.1,-5.11,2.17
-0.96,0.31,0.07,1.33,-4.55,2.1
-0.97,0.31,0.08,0.7,-4.62,2.1
-0.98,0.31,0.08,0.14,-4.55,1.96
-0.98,0.31,0.08,-1.05,-4.62,1.96
-0.98,0.3,0.07,-2.03,-4.83,1.82
-0.97,0.3,0.07,-2.24,-4.83,1.68
-0.97,0.29,0.07,-2.24,-4.69,1.61
-0.96,0.29,0.07,-1.96,-4.48,1.4
-0.96,0.28,0.07,-2.24,-4.69,1.68
-0.96,0.29,0.07,-2.38,-4.55,1.75
-0.96,0.29,0.07,-2.52,-4.55,1.61
-0.97,0.29,0.07,-2.45,-4.2,1.61
-0.97,0.29,0.07,-2.31,-3.99,1.54
-0.98,0.29,0.07,-2.31,-3.99,1.4
-0.98,0.29,0.07,-2.31,-3.92,1.47
-0.98,0.28,0.08,-2.31,-4.27,1.54
-0.98,0.28,0.08,-2.03,-4.34,1.75
