Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
 -0.81, 0.57, -0.21, -0.14, -2.73, 0.70
 -0.81, 0.58, -0.21, -0.07, -3.15, 0.63
 -0.81, 0.58, -0.21, -0.07, -3.08, 0.70
 -0.81, 0.57, -0.21, -0.21, -3.01, 0.63
 -0.81, 0.57, -0.21, -0.21, -3.15, 0.77
 -0.80, 0.57, -0.21, -0.28, -3.36, 0.77
 -0.81, 0.57, -0.21, -0.35, -3.29, 0.77
 -0.81, 0.57, -0.22, 0.00, -3.50, 0.98
 -0.81, 0.57, -0.22, 0.49, -3.85, 1.40
 -0.81, 0.57, -0.22, 1.05, -4.13, 1.54
 -0.80, 0.57, -0.21, 1.12, -3.92, 1.47
 -0.80, 0.58, -0.20, 0.84, -3.57, 1.26
 -0.80, 0.58, -0.20, 0.14, -2.73, 0.98
 -0.81, 0.58, -0.20, -0.42, -2.52, 0.63
 -0.81, 0.58, -0.21, -0.91, -2.17, 0.14
 -0.81, 0.58, -0.21, -1.05, -1.82, -0.28
 -0.81, 0.57, -0.21, -0.98, -2.17, -0.42
 -0.81, 0.57, -0.21, -0.56, -2.31, -0.56
 -0.81, 0.57, -0.21, -0.21, -2.52, -0.42
 -0.81, 0.57, -0.21, -0.14, -2.59, -0.35
 -0.80, 0.58, -0.21, -0.28, -2.66, 0.07
 -0.80, 0.58, -0.21, -0.07, -3.01, 0.56
 -0.80, 0.58, -0.21, 0.14, -3.50, 1.05
 -0.80, 0.58, -0.21, 0.35, -3.85, 1.33
 -0.80, 0.58, -0.21, 0.14, -3.71, 1.75
 -0.80, 0.59, -0.20, -0.07, -3.57, 1.61
 -0.80, 0.59, -0.20, -0.35, -3.43, 1.54
 -0.81, 0.59, -0.21, -0.77, -3.43, 1.47
 -0.81, 0.58, -0.20, -0.77, -3.22, 1.19
 -0.81, 0.58, -0.20, -0.70, -3.50, 1.05
 -0.82, 0.57, -0.21, -2.38, -4.55, 2.80
 -0.81, 0.58, -0.20, -1.12, -3.71, 1.68
 -0.81, 0.57, -0.21, -0.28, -3.57, 1.54
 -0.81, 0.56, -0.21, -0.84, -4.20, 2.87
 -0.81, 0.57, -0.21, -0.84, -5.25, 3.36
 -0.81, 0.57, -0.21, -0.63, -5.25, 3.50
 -0.81, 0.56, -0.21, -0.98, -5.95, 3.99
 -0.81, 0.57, -0.21, -0.77, -5.67, 4.13
 -0.81, 0.56, -0.21, -0.70, -6.09, 4.62
 -0.81, 0.57, -0.21, -1.19, -6.79, 5.60
 -0.81, 0.58, -0.20, -1.61, -6.30, 5.53
 -0.81, 0.59, -0.19, -0.84, -5.88, 4.76
 -0.81, 0.59, -0.20, -0.56, -5.25, 3.92
 -0.80, 0.59, -0.20, -0.21, -4.62, 2.59
 -0.80, 0.59, -0.20, 0.42, -3.57, 1.61
 -0.80, 0.59, -0.20, 0.35, -3.22, 1.40
 -0.81, 0.59, -0.20, 0.00, -3.08, 1.26
 -0.81, 0.58, -0.20, 0.07, -3.29, 1.26
 -0.81, 0.58, -0.20, 0.28, -3.85, 1.40
 -0.81, 0.58, -0.20, 0.56, -3.92, 1.26
 -0.80, 0.58, -0.21, 0.63, -4.13, 1.40
 -0.80, 0.58, -0.21, 0.49, -3.99, 1.68
 -0.80, 0.58, -0.21, -0.07, -4.48, 2.45
 -0.79, 0.53, -0.19, -1.54, -4.90, 8.05
 -0.80, 0.58, -0.19, -1.82, -2.73, 7.91
 -0.80, 0.60, -0.21, -2.24, -3.71, 6.93
 -0.80, 0.60, -0.22, -0.14, -5.46, 4.76
 -0.80, 0.58, -0.20, -0.07, -5.88, 5.60
 -0.79, 0.59, -0.18, 0.91, -4.69, 6.37
 -0.80, 0.60, -0.19, 0.35, -4.34, 5.67
 -0.80, 0.60, -0.20, 0.70, -4.76, 5.67
 -0.81, 0.61, -0.20, 0.42, -4.97, 4.83
 -0.80, 0.60, -0.19, 0.00, -4.76, 3.43
 -0.80, 0.60, -0.19, -0.28, -4.20, 2.45
 -0.80, 0.59, -0.19, -0.63, -3.36, 2.10
 -0.80, 0.60, -0.20, -0.42, -2.87, 1.19
 -0.80, 0.58, -0.20, -0.21, -3.29, 1.05
 -0.80, 0.58, -0.20, 0.35, -3.78, 1.33
 -0.80, 0.59, -0.20, 0.42, -3.57, 1.40
 -0.79, 0.58, -0.20, -0.35, -5.11, 2.94
 -0.79, 0.57, -0.18, 1.05, -3.99, 5.11
 -0.80, 0.62, -0.18, 0.21, -2.87, 3.78
 -0.80, 0.61, -0.20, -0.14, -3.01, 1.96
 -0.80, 0.59, -0.20, 0.07, -3.08, 0.84
 -0.79, 0.59, -0.20, 0.35, -3.08, 0.84
 -0.79, 0.59, -0.19, 0.21, -3.08, 0.84
 -0.79, 0.59, -0.19, 0.07, -2.94, 0.70
 -0.79, 0.59, -0.19, -0.49, -2.87, 1.47
 -0.80, 0.60, -0.20, -0.21, -2.94, 1.33
 -0.79, 0.59, -0.19, -0.14, -3.64, 2.17
 -0.79, 0.58, -0.19, 1.05, -3.64, 3.36
 -0.81, 0.61, -0.19, 0.49, -3.43, 4.41
 -0.80, 0.59, -0.20, 1.40, -3.71, 5.04
 -0.81, 0.60, -0.20, 1.47, -4.34, 4.34
 -0.80, 0.60, -0.20, 1.61, -5.25, 3.99
 -0.79, 0.58, -0.20, 1.75, -5.88, 5.18
 -0.79, 0.60, -0.18, 1.96, -5.04, 6.30
 -0.81, 0.62, -0.19, 1.26, -3.99, 3.64
 -0.79, 0.59, -0.20, 1.75, -4.06, 3.99
 -0.78, 0.59, -0.19, 2.17, -3.99, 5.67
 -0.77, 0.59, -0.20, 2.31, -4.62, 7.49
 -0.78, 0.59, -0.20, 2.66, -5.74, 8.61
 -0.81, 0.62, -0.19, 2.38, -5.53, 7.91
 -0.81, 0.61, -0.20, 2.24, -4.55, 4.62
 -0.79, 0.60, -0.19, 1.75, -4.90, 2.94
 -0.80, 0.61, -0.18, 0.91, -3.92, 1.05
 -0.79, 0.61, -0.17, -0.07, -2.59, 0.14
