Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.1,0.4,0.92,0.07,-3.08,0.21
-0.1,0.4,0.92,-0.14,-3.08,0.21
-0.09,0.4,0.92,-0.21,-3.22,0.42
-0.1,0.4,0.92,-0.21,-3.22,0.49
-0.09,0.4,0.92,-0.28,-2.94,0.42
-0.09,0.4,0.91,0,-3.15,0.28
-0.09,0.4,0.92,0.21,-2.94,0.42
-0.1,0.4,0.92,0.21,-2.73,0.56
-0.09,0.4,0.92,0.28,-2.73,0.63
-0.1,0.4,0.92,0.35,-2.87,0.42
-0.1,0.4,0.92,0.42,-2.87,0.35
-0.1,0.4,0.92,0.21,-2.8,0.49
-0.1,0.4,0.92,0.07,-2.94,0.21
-0.1,0.41,0.92,-0.14,-2.94,0.35
-0.1,0.4,0.92,-0.21,-3.15,0.35
-0.1,0.4,0.92,-0.21,-3.01,0.35
-0.1,0.4,0.92,-0.14,-2.8,0.21
-0.1,0.4,0.92,0.07,-2.94,0.56
-0.1,0.4,0.92,0.42,-2.94,0.56
-0.1,0.4,0.92,0.49,-2.87,0.63
-0.1,0.4,0.92,0.42,-2.66,0.56
-0.1,0.4,0.92,0.56,-3.01,0.7
-0.1,0.4,0.92,0.42,-2.66,0.49
-0.1,0.4,0.92,0.21,-2.87,0.42
-0.1,0.4,0.92,0,-3.08,0.49
-0.09,0.4,0.92,-0.21,-3.08,0.35
-0.1,0.4,0.92,-0.28,-3.08,0.49
-0.1,0.4,0.92,-0.28,-3.01,0.28
-0.1,0.4,0.92,-0.07,-3.01,0.42
-0.1,0.4,0.92,0.14,-3.01,0.42
-0.1,0.4,0.92,0.14,-3.15,0.28
-0.1,0.4,0.92,0.14,-3.01,0.35
-0.1,0.4,0.92,0.14,-2.94,0.35
-0.1,0.4,0.92,-0.07,-2.87,0.28
-0.1,0.4,0.92,-0.07,-2.94,0.35
-0.1,0.4,0.92,0,-2.87,0.42
-0.1,0.4,0.92,0,-2.8,0.49
-0.1,0.4,0.92,0,-2.8,0.21
-0.1,0.4,0.92,0.07,-2.87,0.28
-0.1,0.4,0.92,0,-3.01,0.28
-0.1,0.4,0.92,0.14,-2.94,0.49
-0.1,0.4,0.92,0.07,-2.94,0.49
-0.1,0.4,0.92,0.14,-2.94,0.28
-0.1,0.4,0.92,0,-3.08,0.49
-0.1,0.4,0.92,0,-3.15,0.42
-0.1,0.4,0.92,-0.14,-3.22,0.56
-0.1,0.4,0.92,-0.35,-3.22,0.28
-0.1,0.4,0.92,-0.42,-3.22,0.21
-0.1,0.4,0.92,-0.49,-3.22,0.35
-0.1,0.4,0.92,-0.49,-3.08,0.21
-0.1,0.4,0.92,-0.28,-3.22,0.35
-0.1,0.4,0.92,-0.14,-2.8,0.42
-0.1,0.4,0.92,0.07,-2.8,0.49
-0.09,0.4,0.92,0.21,-2.66,0.7
-0.1,0.4,0.92,0.21,-2.59,0.49
-0.1,0.4,0.92,0.28,-2.59,0.7
-0.09,0.4,0.92,0.28,-2.73,0.63
-0.1,0.4,0.92,0.21,-2.66,0.7
-0.1,0.4,0.92,0.07,-2.94,0.56
-0.1,0.4,0.92,-0.07,-2.87,0.42
-0.1,0.4,0.92,-0.14,-3.01,0.35
-0.1,0.4,0.92,-0.21,-3.08,0.07
-0.1,0.4,0.92,-0.07,-3.22,0.28
-0.1,0.4,0.92,-0.14,-3.08,0.21
-0.1,0.4,0.92,-0.14,-3.08,0.28
-0.1,0.4,0.92,0.14,-2.8,0.35
-0.1,0.4,0.92,0.21,-2.8,0.28
-0.1,0.4,0.92,0.35,-3.08,0.49
-0.1,0.4,0.92,0.42,-2.8,0.35
-0.1,0.4,0.92,0.28,-3.08,0.42
-0.1,0.4,0.92,0.14,-3.22,0.49
-0.1,0.4,0.92,0,-2.94,0.49
-0.1,0.4,0.92,-0.14,-3.08,0.49
-0.1,0.4,0.92,-0.07,-3.01,0.28
