Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.72,-0.72,-0.05,0.07,-2.94,0.42
-0.72,-0.72,-0.05,0.14,-2.87,0.28
-0.72,-0.72,-0.05,0.07,-2.73,0.28
-0.72,-0.71,-0.04,0.14,-2.45,0.42
-0.72,-0.71,-0.04,0.21,-2.52,0.63
-0.71,-0.72,-0.04,0.35,-3.01,0.63
-0.71,-0.72,-0.04,0.07,-2.87,0.63
-0.71,-0.72,-0.04,0,-3.15,0.56
-0.72,-0.72,-0.04,-0.07,-3.08,0.35
-0.72,-0.72,-0.04,0.07,-2.8,0.28
-0.72,-0.72,-0.04,0.21,-2.8,-0.07
-0.72,-0.72,-0.04,0.35,-2.94,0.21
-0.72,-0.72,-0.04,0.35,-2.8,0.28
-0.72,-0.72,-0.05,0.21,-3.01,0.49
-0.72,-0.72,-0.05,0,-2.94,0.56
-0.72,-0.72,-0.05,-0.07,-2.94,0.49
-0.71,-0.71,-0.05,-0.21,-2.66,0.63
-0.71,-0.71,-0.04,-0.35,-2.52,0.63
-0.72,-0.71,-0.04,-0.35,-2.52,0.77
-0.72,-0.72,-0.04,-0.49,-3.01,0.63
-0.72,-0.72,-0.04,-0.28,-3.43,0.77
-0.72,-0.72,-0.04,-0.21,-3.57,0.56
-0.72,-0.72,-0.05,0.07,-3.57,0.42
-0.72,-0.72,-0.05,0.21,-3.08,0.35
-0.72,-0.72,-0.05,0.63,-3.01,0
-0.72,-0.72,-0.05,0.7,-2.66,0.21
-0.72,-0.72,-0.04,0.77,-2.59,0.21
-0.72,-0.71,-0.05,0.84,-2.66,0.14
-0.72,-0.71,-0.04,0.49,-2.73,0.21
-0.72,-0.71,-0.04,0.21,-2.94,0.42
-0.72,-0.71,-0.04,-0.21,-3.08,0.84
-0.71,-0.72,-0.04,-0.35,-3.36,1.05
-0.71,-0.72,-0.04,-0.63,-3.36,0.98
-0.71,-0.73,-0.05,-0.56,-3.36,0.7
-0.71,-0.73,-0.05,-0.56,-3.15,0.49
-0.71,-0.73,-0.04,-0.07,-3.08,0.07
-0.71,-0.73,-0.05,0.35,-2.94,0.21
-0.72,-0.72,-0.05,0.91,-2.45,-0.14
-0.72,-0.72,-0.05,1.26,-2.17,-0.07
-0.72,-0.71,-0.04,1.61,-2.03,-0.14
-0.72,-0.71,-0.04,1.68,-1.82,-0.07
-0.72,-0.71,-0.04,1.96,-2.17,0.28
-0.72,-0.71,-0.04,1.75,-1.89,0.21
-0.72,-0.72,-0.04,1.68,-1.96,0.07
-0.72,-0.72,-0.04,1.75,-1.96,0.28
-0.72,-0.72,-0.05,1.82,-2.03,0.07
-0.74,-0.71,-0.07,0,-4.2,-0.14
-0.71,-0.71,-0.04,0.63,-3.15,0.21
-0.72,-0.71,-0.04,1.12,-2.94,0.42
-0.72,-0.71,-0.04,1.4,-2.03,0.49
-0.71,-0.72,-0.04,1.47,-1.61,0.77
-0.71,-0.72,-0.04,1.26,-1.82,0.84
-0.7,-0.73,-0.05,1.05,-2.03,1.05
-0.7,-0.73,-0.04,1.47,-1.82,1.12
-0.7,-0.73,-0.04,1.96,-1.12,0.91
-0.7,-0.73,-0.05,2.45,-0.21,0.77
-0.71,-0.73,-0.05,2.38,-0.35,0.84
-0.71,-0.72,-0.04,2.24,-0.49,0.7
-0.72,-0.72,-0.04,2.31,-0.77,0.63
-0.72,-0.72,-0.04,2.31,-0.91,0.7
-0.72,-0.72,-0.04,2.17,-1.12,0.77
-0.71,-0.72,-0.04,2.03,-1.19,0.84
-0.71,-0.72,-0.04,1.96,-1.26,0.7
-0.72,-0.72,-0.04,1.89,-1.47,0.7
-0.72,-0.72,-0.04,1.96,-1.89,0.42
-0.72,-0.72,-0.03,1.68,-1.89,0.42
-0.73,-0.72,-0.03,1.19,-2.38,0.42
-0.73,-0.71,-0.03,0.91,-2.94,0.49
-0.72,-0.71,-0.04,0.77,-3.15,0.49
-0.72,-0.71,-0.04,0.77,-3.22,0.35
-0.72,-0.71,-0.05,0.84,-2.73,0.35
-0.72,-0.71,-0.04,0.91,-2.45,0.42
-0.72,-0.71,-0.04,1.05,-2.38,0.42
-0.72,-0.72,-0.04,0.91,-2.38,0.7
-0.72,-0.72,-0.04,0.63,-2.31,0.77
-0.72,-0.72,-0.04,0.49,-2.52,0.77
