Accel_x,Accel_y,Accel_z
1.182,-0.451,0.495
0.909,0.083,0.562
0.605,0.007,0.709
0.636,-0.085,0.766
0.6,-0.133,0.82
0.577,-0.248,0.842
0.569,-0.39,0.841
0.662,-0.457,0.784
0.698,-0.464,0.732
0.713,-0.398,0.683
0.72,-0.374,0.644
0.716,-0.36,0.619
0.666,-0.298,0.635
0.585,-0.254,0.642
0.457,-0.242,0.659
0.386,-0.302,0.65
0.381,-0.349,0.71
0.469,-0.508,0.804
0.668,-0.806,0.907
0.715,-1,0.933
0.651,-1.06,0.952
0.432,-1.01,0.85
0.281,-0.836,0.64
0.222,-0.636,0.513
0.208,-0.451,0.406
0.237,-0.33,0.398
0.368,-0.306,0.49
0.385,-0.248,0.509
0.422,-0.252,0.585
0.428,-0.301,0.685
0.629,-1.1,1.285
0.494,-0.211,0.996
0.566,-0.715,1.22
0.236,-0.217,0.169
0.165,-0.228,0.263
0.11,-0.449,0.152
0.135,-0.636,0.133
0.136,-0.74,0.236
0.152,-0.682,0.289
0.144,-0.434,0.63
0.181,-0.512,0.621
0.271,-0.654,0.532
0.279,-0.72,0.457
0.281,-0.643,0.381
0.196,-0.522,0.259
0.124,-0.421,0.22
-0.475,1.791,2.362
0.36,0.38,1.577
0.297,0.549,1.179
0.43,0.396,1.164
0.396,0.266,1.148
0.254,0.237,1.115
0.033,0.228,1.107
-0.032,0.116,1.067
-0.126,-0.053,0.963
-0.04,-0.054,0.947
-0.013,0.08,0.98
0.043,0.2,1.069
0.115,0.268,1.142
0.132,0.259,1.228
0.08,0.2,1.246
0.071,0.231,1.177
0.071,0.213,1.113
0.077,0.209,1.071
0.081,0.234,1.027
0.081,0.259,0.994
0.1,0.272,1.003
0.133,0.278,0.997
0.177,0.234,1
0.195,0.199,1.011
0.2,0.161,1.029
0.174,0.16,1.041
0.144,0.167,1.042
0.129,0.16,1.043
0.115,0.174,1.029
0.106,0.193,1.01
0.105,0.212,0.98
0.105,0.225,0.956
0.119,0.233,0.953
0.14,0.244,0.973
0.146,0.261,0.97
0.151,0.237,0.969
0.164,0.192,0.973
0.171,0.165,0.974
0.179,0.142,0.964
0.177,0.123,0.954
0.179,0.115,0.95
0.174,0.136,0.96
0.171,0.179,0.967
0.164,0.201,0.965
0.166,0.202,0.961
0.175,0.195,0.959
0.172,0.182,0.942
0.166,0.161,0.929
0.164,0.149,0.92
0.167,0.151,0.917
0.174,0.162,0.924
