Accel_x,Accel_y,Accel_z
-0.223,0.614,1.251
-0.307,0.846,1.28
-0.388,1.073,1.373
-0.386,1.272,1.416
-0.444,1.641,1.314
-0.342,1.837,1.012
-0.04,1.66,0.702
0.227,1.585,0.203
0.61,1.342,-0.182
0.957,0.835,-0.46
1.087,-0.179,-0.718
0.473,-1.936,-0.557
-0.345,-3.682,0.222
-0.399,-4.244,2.637
-0.464,-2.461,4.398
-0.637,-1.073,5.044
-0.24,-0.803,4.247
0.405,-1.338,2.539
1.318,-1.45,0.904
1.671,-1.04,-1.212
1.179,0.297,-1.619
0.995,0.68,-0.912
0.907,0.244,-0.336
0.682,-0.055,0.172
0.439,-0.211,0.754
0.315,-0.265,0.975
0.308,-0.298,0.994
0.3,-0.35,0.956
0.247,-0.307,1.004
0.258,-0.22,1.046
0.242,-0.294,1.074
0.232,-0.37,1.089
0.162,-0.364,1.093
0.175,-0.38,1.097
0.225,-0.385,1.115
0.196,-0.343,1.061
0.198,-0.344,1.03
0.214,-0.346,0.999
0.202,-0.322,0.958
0.183,-0.249,0.949
0.147,-0.185,0.953
0.126,-0.066,0.957
0.103,-0.021,0.985
0.08,0.02,0.974
0.047,-0.006,0.952
0.029,-0.026,0.954
0.019,0.006,0.963
0.03,0.107,0.96
0.054,0.164,0.956
0.073,0.183,0.941
0.086,0.176,0.932
0.113,0.167,0.928
0.118,0.14,0.943
0.104,0.088,1
0.066,0.046,1.038
0.042,0.035,1.062
0.023,0.014,1.065
-0.003,-0.007,1.053
-0.028,0.008,1.024
-0.046,0.039,0.999
-0.05,0.048,0.98
-0.049,0.04,0.969
-0.051,0.029,0.96
-0.058,0.022,0.952
-0.058,0.011,0.956
-0.048,-0.003,0.954
-0.039,-0.002,0.946
-0.037,-0.021,0.938
-0.032,-0.038,0.936
-0.029,-0.056,0.95
-0.043,-0.041,0.986
-0.06,-0.017,1.026
-0.067,-0.008,1.059
-0.062,-0.005,1.07
-0.041,0.007,1.076
-0.024,0.026,1.074
0,0.041,1.062
0.015,0.049,1.037
0.025,0.061,1.023
0.032,0.062,1.012
0.041,0.06,1.004
0.045,0.054,0.995
0.037,0.037,0.988
0.029,0.028,1.005
0.033,0.014,1.022
0.033,-0.011,1.019
0.021,-0.054,1.014
0.003,-0.095,1.019
-0.013,-0.108,1.032
-0.024,-0.097,1.044
-0.022,-0.072,1.061
-0.014,-0.05,1.069
-0.003,-0.037,1.08
0.004,-0.02,1.081
0.02,-0.011,1.089
0.039,0,1.082
0.054,0.009,1.077
0.06,0.027,1.063
0.069,0.043,1.051
0.083,0.055,1.037
0.086,0.061,1.018
0.088,0.057,1.001
0.084,0.048,0.978
0.079,0.038,0.978
0.078,0.014,0.986
0.069,-0.007,0.991
0.061,-0.017,0.999
0.056,-0.017,1.004
0.054,-0.022,1.008
0.055,-0.018,1.008
0.062,-0.016,1.003
0.066,-0.016,0.996
0.063,-0.018,0.992
0.057,-0.02,0.998
0.062,-0.005,1.017
0.061,-0.001,1.026
0.055,-0.007,1.021
0.049,-0.028,1.003
0.05,-0.04,0.973
-0.291,0.648,1.123
-0.346,0.753,1.127
-0.404,0.918,1.167
-0.422,1.139,1.232
-0.464,1.457,1.205
-0.376,1.406,1.127
-0.367,1.409,0.962
-0.259,1.181,0.597
0.057,0.538,0.293
0.437,-0.078,-0.095
0.85,-1.252,-0.371
1.091,-2.536,-0.407
0.708,-2.852,0.006
0.015,-2.331,1.242
-0.197,-1.69,1.659
-0.163,-1.402,2.159
-0.064,-1.276,2.718
0.098,-1.149,2.932
0.174,-0.994,2.78
0.494,-0.803,2.033
0.79,-0.64,1.287
0.947,-0.448,0.469
1.014,-0.313,0.007
0.973,-0.19,-0.204
0.827,-0.144,-0.1
0.661,-0.142,0.193
0.54,-0.203,0.475
0.447,-0.301,0.773
0.406,-0.325,0.908
0.41,-0.271,1.023
